id,value
id_0,5.174960398984908
id_1,18.306214253527813
id_2,20.49121809418068
id_3,11.523942869805609
id_4,26.616056752306122
id_5,20.531348081761177
id_6,21.906551018797394
id_7,31.736468747068738
id_8,13.39167405511192
id_9,64.45646650291907
id_10,20.264568836159306
id_11,15.35857607736122
id_12,68.58947276926729
id_13,48.42811374745703
id_14,18.702333824193023
id_15,10.188595737466713
id_16,30.740362859820593
id_17,71.1322177635511
id_18,-4.130517391262469
id_19,18.235694016428592
id_20,38.57892227500775
id_21,71.3115197253133
id_22,7.410348162634172
id_23,18.717955330321388
id_24,14.937250260084493
id_25,36.719736694705276
id_26,17.96169700566259
id_27,75.78946287210518
id_28,12.309310248614636
id_29,56.29535173964934
id_30,25.113160865661516
id_31,4.6102486740940485
id_32,2.483770554515317
id_33,24.75942226132119
id_34,30.48028046559112
id_35,38.463930746426705
id_36,44.20231060932999
id_37,30.086836019865878
id_38,40.47367501574011
id_39,29.22647990231743
id_40,5.6064560543437025
id_41,38.66601607878965
id_42,34.61021343187731
id_43,48.38969750738478
id_44,14.757247666943988
id_45,34.4668201108721
id_46,27.48310687418422
id_47,12.000879378154302
id_48,21.378036151603794
id_49,28.54440309166339
id_50,20.165513818411608
id_51,10.796678149746434
id_52,22.17103575575063
id_53,53.44626310935219
id_54,12.219581121609806
id_55,43.30096845517154
id_56,32.18233510328539
id_57,22.567217514570892
id_58,56.739514165547206
id_59,20.745052945295562
id_60,15.028854557473345
id_61,39.85530159038506
id_62,12.97534068072844
id_63,51.741659592830146
id_64,18.78336963254016
id_65,12.348752842777962
id_66,15.633623653542148
id_67,-0.05887147068512455
id_68,41.508011073075906
id_69,31.548747530655792
id_70,18.604251157546972
id_71,37.476819724880414
id_72,56.520390657622876
id_73,6.5878771935219
id_74,12.22933973743497
id_75,5.203696404134973
id_76,47.927375103800415
id_77,13.020705685594478
id_78,17.11030169390374
id_79,20.60323453100209
id_80,21.284481560784613
id_81,38.69293529051173
id_82,30.020716675725872
id_83,88.76740666723522
id_84,35.98470023966797
id_85,26.75691355347722
id_86,23.963516843564136
id_87,32.74724282808309
id_88,22.189043755319904
id_89,20.99215885362655
id_90,29.55599431664544
id_91,40.99216886651749
